x,u,r,p
0.00000e+00,0.00000e+00,1.00000e+00,1.00000e+00
2.00401e-03,0.00000e+00,1.00000e+00,1.00000e+00
4.00802e-03,0.00000e+00,1.00000e+00,1.00000e+00
6.01202e-03,0.00000e+00,1.00000e+00,1.00000e+00
8.01603e-03,0.00000e+00,1.00000e+00,1.00000e+00
1.00200e-02,0.00000e+00,1.00000e+00,1.00000e+00
1.20240e-02,0.00000e+00,1.00000e+00,1.00000e+00
1.40281e-02,0.00000e+00,1.00000e+00,1.00000e+00
1.60321e-02,0.00000e+00,1.00000e+00,1.00000e+00
1.80361e-02,0.00000e+00,1.00000e+00,1.00000e+00
2.00401e-02,0.00000e+00,1.00000e+00,1.00000e+00
2.20441e-02,0.00000e+00,1.00000e+00,1.00000e+00
2.40481e-02,0.00000e+00,1.00000e+00,1.00000e+00
2.60521e-02,0.00000e+00,1.00000e+00,1.00000e+00
2.80561e-02,0.00000e+00,1.00000e+00,1.00000e+00
3.00601e-02,0.00000e+00,1.00000e+00,1.00000e+00
3.20641e-02,0.00000e+00,1.00000e+00,1.00000e+00
3.40681e-02,0.00000e+00,1.00000e+00,1.00000e+00
3.60721e-02,0.00000e+00,1.00000e+00,1.00000e+00
3.80762e-02,0.00000e+00,1.00000e+00,1.00000e+00
4.00802e-02,0.00000e+00,1.00000e+00,1.00000e+00
4.20842e-02,0.00000e+00,1.00000e+00,1.00000e+00
4.40882e-02,0.00000e+00,1.00000e+00,1.00000e+00
4.60922e-02,0.00000e+00,1.00000e+00,1.00000e+00
4.80962e-02,0.00000e+00,1.00000e+00,1.00000e+00
5.01002e-02,0.00000e+00,1.00000e+00,1.00000e+00
5.21042e-02,0.00000e+00,1.00000e+00,1.00000e+00
5.41082e-02,0.00000e+00,1.00000e+00,1.00000e+00
5.61122e-02,0.00000e+00,1.00000e+00,1.00000e+00
5.81162e-02,0.00000e+00,1.00000e+00,1.00000e+00
6.01202e-02,0.00000e+00,1.00000e+00,1.00000e+00
6.21242e-02,0.00000e+00,1.00000e+00,1.00000e+00
6.41283e-02,0.00000e+00,1.00000e+00,1.00000e+00
6.61323e-02,0.00000e+00,1.00000e+00,1.00000e+00
6.81363e-02,0.00000e+00,1.00000e+00,1.00000e+00
7.01403e-02,0.00000e+00,1.00000e+00,1.00000e+00
7.21443e-02,0.00000e+00,1.00000e+00,1.00000e+00
7.41483e-02,0.00000e+00,1.00000e+00,1.00000e+00
7.61523e-02,0.00000e+00,1.00000e+00,1.00000e+00
7.81563e-02,0.00000e+00,1.00000e+00,1.00000e+00
8.01603e-02,0.00000e+00,1.00000e+00,1.00000e+00
8.21643e-02,0.00000e+00,1.00000e+00,1.00000e+00
8.41683e-02,0.00000e+00,1.00000e+00,1.00000e+00
8.61723e-02,0.00000e+00,1.00000e+00,1.00000e+00
8.81764e-02,0.00000e+00,1.00000e+00,1.00000e+00
9.01804e-02,0.00000e+00,1.00000e+00,1.00000e+00
9.21844e-02,0.00000e+00,1.00000e+00,1.00000e+00
9.41884e-02,0.00000e+00,1.00000e+00,1.00000e+00
9.61924e-02,0.00000e+00,1.00000e+00,1.00000e+00
9.81964e-02,0.00000e+00,1.00000e+00,1.00000e+00
1.00200e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.02204e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.04208e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.06212e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.08216e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.10220e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.12224e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.14228e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.16232e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.18236e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.20240e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.22244e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.24248e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.26253e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.28257e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.30261e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.32265e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.34269e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.36273e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.38277e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.40281e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.42285e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.44289e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.46293e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.48297e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.50301e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.52305e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.54309e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.56313e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.58317e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.60321e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.62325e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.64329e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.66333e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.68337e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.70341e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.72345e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.74349e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.76353e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.78357e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.80361e-01,0.00000e+00,1.00000e+00,1.00000e+00
1.82365e-01,0.00000e+00,1.00000e+00,1.00000e+00
